@relation spectrometer-weka.filters.unsupervised.instance.RemovePercentage-P20.0-weka.filters.unsupervised.instance.RemovePercentage-P70.0

@attribute LRS-name {12043-6225,12063-6259,12073-6233,12148-6741,12216-6218,12226+0102,12230-5943,12233-5920,12247-5842,12274-7647,12277+0441,12283-5650,12298-5754,12319-6728,12377-6102,12379-4959,12380+5607,12384-4536,12394-4338,12421-6217,12427+4542,12447+0425,12454-6659,12462-6418,12506-6004,12530+0340,12540-6845,12559-6041,12563-6100,13001+0527,13022-7650,13064-6103,13136-4426,13141-6119,13170-5404,13172+4547,13203-5536,13208-6027,13283-5839,13328-6244,13343-5807,13350-7221,13368-4941,13371-6249,13379-5426,13442-6109,13462-2807,13465-3412,13477-6532,13482-6716,13509-6348,13517-6515,13527-6117,13557-6442,13572-6347,13581-5930,14003-7633,14020-3515,14030-4629,14068-6158,14086-2839,14086-6907,14119-6453,14122-6133,14129-5940,14133+1925,14159-6038,14182-6144,14216-6152,14247+0454,14251-6256,14277+3904,14280-2952,14286-5905,14301-5734,14337-6215,14359-6037,14371+3245,14390+3147,14437+1520,14453-4920,14455-3625,14465-6000,14484-6152,14508+7421,14531-5337,14550-1214,14562-5406,14567+6607,14567-5846,14582-5926,14591-4438,15011-2505,15023-6916,15082-4808,15084-5702,15099-5509,15107-5726,15148-4940,15186-3604,15186-5730,15193+1429,15193+3132,15214-2244,15219-7545,15223-0203,15225-5605,15226-3603,15255+1944,15269-4400,15287-5811,15290-5546,15311-5538,15314+7847,15323-4920,15332-6430,15341+1515,15356-6722,15361+2441,15373-5308,15402-5449,15408-5413,15410-0133,15468-5018,15483+1517,15483-5514,15492+4837,15509-5207,15530-5201,15566+3609,15568-4513,15569-6135,15576-5400,16011+4722,16011-5424,16029-3041,16030-5156,16031-4856,16064-4200,16066-4427,16077-5830,16079-4812,16081+2511,16105-4205,16117-0334,16127-7834,16133-5151,16156-5613,16171-4759,16175-6120,16192-4900,16208-2215,16218-4701,16219-5048,16222-4738,16229-4947,16235+1900,16260+3454,16263-5533,16269+4159,16270-5213,16279-4709,16280-4154,16296-4417,16306+7223,16316-5026,16327-4848,16328-4656,16334-3107,16337-4525,16340-4634,16387-2700,16396-4429,16407-5639,16418+5459,16433-6856,16438-1133,16446-4243,16451-4312,16460-4022,16473+5753,16478-4322,16490-4618,16494-1252,16498-4143,16534-3030,16541-4901,16545-4214,16546-4057,16559-2557,16571-7548,16581-4058,16586-4142,16589-3315,16598-4117,17001-3651,17010-4323,17025-4719,17047-5650,17048-1601,17049-2440,17050-4123,17066-4028,17079-3243,17080-3215,17081+6422,17102-1031,17103-0559,17103-3551,17103-3702,17104-3146,17105-3746,17109-3942,17115-3322,17119+0859,17122-2707,17123+1107,17125-4814,17139+0446,17139-3746,17162-1934,17174-4641,17187-3750,17190+2658,17199-3512,17201-4613,17213-2219,17217-3916,17237-3102,17239-2812,17265-0725,17297+1747,17309-1724,17315-3414,17317-3331,17318-2342,17319-6234,17328-3327,17334+1537,17341-3453,17343+1052,17361+5746,17375-3652,17381-3442,17382-1704,17387-4343,17389-2045,17389-5742,17398-4344,17433-2523,17434-3414,17443-2519,17446-7809,17462-8647,17479-2927,17484-0800,17488-2800,17504-0234,17505-3143,17508-3419,17513-2313,17534-3030,17540-1919,17541+1110,17554+5129,17556+5813,17570-3713,17579+2335,17581-1744,18018-2802,18027-2314,18039-0813,18040-0941,18041-3317,18057-2616,18076+3445,18076-1034,18083-2630,18092-0437,18095+2704,18135-1456,18135-1740,18136-1859,18142-3646,18156-0653,18157+1757,18162-0246,18176-1848,18177-2951,18186+3143,18213+0335,18222+3933,18230+0544,18239-0655,18240+2326,18257-1000,18267-0606,18273-0738,18276+8236,18276-4717,18280-5639,18281+2149,18301-0656,18303-0519,18306+3657,18314-1131,18316-0602,18320-0352,18325-1138,18333+0533,18349+1023,18359+0847,18367-0452,18373-0021,18378-3731,18397+1738,18398-0220,18401+2854,18413+1354,18414-0527,18421+1147,18429-1721,18450-0922,18451-0824,18464-0656,18467-4802,18475+0926,18476+0555,18527+3650,18530+0817,18531+0016,18535+0726,18537-1035,18550+0130,18551+0323,18551+1345,18556+0811,18560+0638,19007-2247,19007-3826,19008+0726,19017-0545,19029+0808,19032-4602,19042-4858,19043+1009,19059-2219,19075+0921,19093-3256,19099+6711,19135+0931,19143-5032,19157-1706,19161+2343,19178-2620,19188-1603,19192+0922,19194+1734,19229+1708,19232+5008,19240+3615,19247-1722,19282+2253,19283+1944,19287+4602,19296+4331,19314-1629,19321+2757,19324+3033,19327+3024,19352+2030,19354+5005,19361-1658,19396+1637,19412+0337,19422+3506,19451+1824,19472+2127,19474-0744,19480+2447,19495+0835,19500-1709,19503+2219,19510-5919,19528-2919,19536+3237,19537+2212,19548+3035,19550-0201,19575-5930,19585+5200,19586+3637,19594+4047,19595-2751,20010+3011,20015+3019,20024+3330,20028+3910,20038-2722,20042-4241,20052+0554,20072+3116,20075-6005,20094-1121,20111-4708,20113+4917,20124+6605,20135-7152,20161-1600,20165+3413,20171+3519,20193+3527,20194+3646,20200+3624,20215+6243,20248+7505,20248-2825,20253+3814,20255+4054,20267+2105,20275+4001,20297+3221,20310+4029,20318+3829,20340+5338,20350+3741,20356+1805,20365+1154,20396+4757,20403+3700,20417-0500,20431+1754,20435+3825,20440-0105,20479+0554,20484-7202,20491+4236,20502+4709,20529+3013,20532+5554,20541-6549,20549+5245,20570+2714,21003+4801,21032-0024,21035+5136,21044-1637,21069-3843,21086+5238,21088+6817,21190+5140,21206-4054,21243-6943,21245+6221,21270+7135,21286+1055,21305+2118,21312+5405,21318+5631,21320+3850,21341+4508,21368-3812,21373+4540,21377+5042,21377-0200,21383+4513,21389+5405,21399+3516,21401+7354,21417+0938,21449+4950,21453-4708,21456+6422,21489+5301,21543-1421,21552+6323,21554+6204,21558+5907,21563+5630,22017+2806,22035+3506,22091+5757,22097+5647,22142-8454,22150-6030,22165+4331,22177+5936,22190-0751,22196-4612,22212+5542,22230-4841,22231-4529,22241+6005,22264+5858,22267-4400,22272+5435,22280+1250,22282+5644,22303+5950,22306+5510,22317+5838,22345+5809,22456+5453,22476+4047,22512+6100,22516+0838,22518+6600,22525-2952,22526+8446,22540-5740,22585+6402,23000+5932,23013+2748,23095+5925,23134-7031,23138+6204,23151+5912,23166+1655,23202+5901,23213-4521,23284+5958,23309+2213,23320+4316,23365+5159,23416+6130,23439+5412,23491+6243,23496+6131,23528+4821,23541+7031,23564-5651}
@attribute LRS-class {2,3,4,5,12,13,14,15,16,17,18,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,41,42,43,44,45,50,69,71,72,73,79,80,81,82,85,91,92,95,96}
@attribute ID-type {0,2,3,4}
@attribute Right-Ascension numeric
@attribute Declination numeric
@attribute Scale_Factor numeric
@attribute Blue_base_1 numeric
@attribute Blue_base_2 numeric
@attribute Red_base_1 numeric
@attribute Red_base_2 numeric
@attribute blue-band-flux_1 numeric
@attribute blue-band-flux_2 numeric
@attribute blue-band-flux_3 numeric
@attribute blue-band-flux_4 numeric
@attribute blue-band-flux_5 numeric
@attribute blue-band-flux_6 numeric
@attribute blue-band-flux_7 numeric
@attribute blue-band-flux_8 numeric
@attribute blue-band-flux_9 numeric
@attribute blue-band-flux_10 numeric
@attribute blue-band-flux_11 numeric
@attribute blue-band-flux_12 numeric
@attribute blue-band-flux_13 numeric
@attribute blue-band-flux_14 numeric
@attribute blue-band-flux_15 numeric
@attribute blue-band-flux_16 numeric
@attribute blue-band-flux_17 numeric
@attribute blue-band-flux_18 numeric
@attribute blue-band-flux_19 numeric
@attribute blue-band-flux_20 numeric
@attribute blue-band-flux_21 numeric
@attribute blue-band-flux_22 numeric
@attribute blue-band-flux_23 numeric
@attribute blue-band-flux_24 numeric
@attribute blue-band-flux_25 numeric
@attribute blue-band-flux_26 numeric
@attribute blue-band-flux_27 numeric
@attribute blue-band-flux_28 numeric
@attribute blue-band-flux_29 numeric
@attribute blue-band-flux_30 numeric
@attribute blue-band-flux_31 numeric
@attribute blue-band-flux_32 numeric
@attribute blue-band-flux_33 numeric
@attribute blue-band-flux_34 numeric
@attribute blue-band-flux_35 numeric
@attribute blue-band-flux_36 numeric
@attribute blue-band-flux_37 numeric
@attribute blue-band-flux_38 numeric
@attribute blue-band-flux_39 numeric
@attribute blue-band-flux_40 numeric
@attribute blue-band-flux_41 numeric
@attribute blue-band-flux_42 numeric
@attribute blue-band-flux_43 numeric
@attribute blue-band-flux_44 numeric
@attribute red-band-flux_1 numeric
@attribute red-band-flux_2 numeric
@attribute red-band-flux_3 numeric
@attribute red-band-flux_4 numeric
@attribute red-band-flux_5 numeric
@attribute red-band-flux_6 numeric
@attribute red-band-flux_7 numeric
@attribute red-band-flux_8 numeric
@attribute red-band-flux_9 numeric
@attribute red-band-flux_10 numeric
@attribute red-band-flux_11 numeric
@attribute red-band-flux_12 numeric
@attribute red-band-flux_13 numeric
@attribute red-band-flux_14 numeric
@attribute red-band-flux_15 numeric
@attribute red-band-flux_16 numeric
@attribute red-band-flux_17 numeric
@attribute red-band-flux_18 numeric
@attribute red-band-flux_19 numeric
@attribute red-band-flux_20 numeric
@attribute red-band-flux_21 numeric
@attribute red-band-flux_22 numeric
@attribute red-band-flux_23 numeric
@attribute red-band-flux_24 numeric
@attribute red-band-flux_25 numeric
@attribute red-band-flux_26 numeric
@attribute red-band-flux_27 numeric
@attribute red-band-flux_28 numeric
@attribute red-band-flux_29 numeric
@attribute red-band-flux_30 numeric
@attribute red-band-flux_31 numeric
@attribute red-band-flux_32 numeric
@attribute red-band-flux_33 numeric
@attribute red-band-flux_34 numeric
@attribute red-band-flux_35 numeric
@attribute red-band-flux_36 numeric
@attribute red-band-flux_37 numeric
@attribute red-band-flux_38 numeric
@attribute red-band-flux_39 numeric
@attribute red-band-flux_40 numeric
@attribute red-band-flux_41 numeric
@attribute red-band-flux_42 numeric
@attribute red-band-flux_43 numeric
@attribute red-band-flux_44 numeric
@attribute red-band-flux_45 numeric
@attribute red-band-flux_46 numeric
@attribute red-band-flux_47 numeric
@attribute red-band-flux_48 numeric
@attribute red-band-flux_49 numeric

@data
20111-4708,15,2,20.186,-47.135,0,1762,1939,648,685,15450.054,15965.334,15632.497,14494.436,13951.341,12425.534,11794.986,11548.759,12193.881,12462.746,10130.2295,10157.498,10085.414,10278.651,9307.743,9354.896,8877.55,8300.823,8334.57,8206.532,7797.7427,7437.7734,7300.1904,6784.3364,7054.458,6825.396,6214.163,6028.1206,6163.899,5870.6987,5614.602,5106.983,4730.07,5115.711,4149.9385,4282.1455,4699.113,3918.7324,3680.528,4600.7534,4647.348,3674.0498,3272.18,3469.0403,7283.33,6892.9624,6689.8887,6520.0386,5223.0674,4879.779,4446.837,3785.7788,3920.4263,3199.0034,3062.6648,2741.1,2571.6824,1889.4097,2472.8135,2516.0571,2389.6655,1931.7759,1750.8329,1973.5946,1738.0947,1818.5409,1789.7999,1540.7126,1613.4191,1401.4226,1554.1215,1268.0546,1344.732,1339.5193,868.2363,1403.2443,1173.8094,772.77515,1126.4614,939.96967,870.4997,1060.4116,710.1449,630.95984,889.1615,876.3037,1003.86707,829.16815,438.01273,813.27527,847.2713,471.74582,334.147
20113+4917,24,4,20.189,49.299,0,820,804,362,420,12491.615,12815.852,12209.262,11248.197,11132.811,10568.053,10343.794,9798.556,9850.593,10522.234,10424.936,10877.466,11815.631,11822.977,12089.883,11024.059,10445.266,10491.664,9690.973,9131.702,9172.504,8949.546,7834.844,7751.431,7300.9907,6664.942,6508.9497,6280.386,6002.9766,5344.586,5240.2144,5394.0117,4496.977,4142.798,4217.042,4066.6038,4186.8945,4114.6006,4019.9758,4307.7217,4190.7637,3637.0042,3413.9817,3301.2036,8381.627,7661.762,6876.3955,6177.632,5187.2754,4261.1807,4023.1394,3804.6929,3421.6252,2947.898,2758.903,2662.0552,2587.5752,2358.2302,2154.0393,2344.8157,2153.2495,1999.3934,2088.3865,2000.1757,1994.3264,2023.3899,1935.2534,1985.2965,1853.9435,1901.2382,1693.172,1787.954,1662.2622,1817.0886,1663.5212,1596.4926,1585.3022,1456.9027,1502.959,1251.783,1176.4575,1229.534,1235.1764,1080.3461,989.7225,943.768,896.4297,871.43164,812.9523,801.93176,769.98895,636.1834,658.68634
20124+6605,17,4,20.207,66.093,0,940,971,646,673,23411.555,21337.928,19241.063,16978.695,15906.233,15175.249,13844.192,12743.382,12615.1875,11822.25,10881.897,10914.157,10491.188,9636.27,8838.278,8648.174,8675.37,8304.237,7803.7896,7890.5337,7819.5063,6874.201,6684.2197,6608.0645,6345.6846,6080.73,5808.0293,5682.7827,5151.4395,5052.083,5431.271,5044.817,4376.4263,4659.9404,4162.2896,3977.637,4033.5525,3522.9985,3835.0125,3929.7566,3385.6016,3583.8284,3456.1433,3281.9063,7695.299,7041.2446,6167.4,5549.7036,4919.1367,4257.589,3859.9321,3371.7917,3297.5623,3119.9084,2678.4534,2257.729,2212.105,2236.354,1766.5797,1873.6614,1742.7965,1423.1315,1253.5176,1466.7543,1323.0527,1275.0796,1271.1002,1181.7805,1092.4795,935.9434,955.31757,990.22876,844.0896,969.5659,763.9635,749.7885,808.0551,768.0413,720.28046,620.7988,704.983,631.3924,661.28033,667.8989,633.1418,719.9686,664.53906,409.9463,326.08316,557.8031,763.6654,488.4167,363.20316
20135-7152,29,2,20.227,-71.881,0,249,252,213,294,7123.976,7296.9604,7573.0234,7714.1987,8167.1494,8917.877,9409.008,10359.528,11073.356,11717.198,12026.36,12339.34,12405.449,12253.953,11803.41,11147.99,10818.34,10450.517,10301.569,9900.661,9354.683,9128.113,8851.917,8387.384,7678.523,7520.6743,7315.742,6704.8687,6227.6133,5970.5083,5561.9717,5147.0723,4749.9893,4522.1553,4317.227,4071.5786,3792.844,3563.7393,3522.9717,3395.6714,3094.033,3148.7068,2999.7747,3105.3513,8809.773,8030.254,7534.623,6446.0884,5288.929,4582.3364,3842.7344,3604.5872,3324.512,2963.0562,2779.8142,2693.34,2542.0164,2492.5447,2436.755,2411.5496,2340.5715,2568.681,2486.3254,2452.3618,2466.7876,2408.71,2476.6443,2409.718,2365.7253,2268.3125,2307.087,2078.652,2099.6604,2027.7954,2025.9421,1792.5065,1770.3351,1833.4435,1780.7694,1599.5868,1634.7551,1555.412,1456.9983,1474.4021,1348.0242,1312.0128,1184.3932,1259.1233,1156.9839,1076.492,1163.9894,1154.7866,947.0795
20161-1600,28,4,20.269,-16.014,0,1691,1876,799,853,9730.005,9197.987,8257.083,8937.622,8254.777,8228.903,8630.509,8335.507,9631.966,10364.832,11328.933,13079.659,12196.523,13659.76,12755.181,12113.407,11737.7705,11305.664,10996.679,10130.707,10200.982,9616.153,9204.322,8847.418,8013.3345,7784.5757,7316.4194,6630.481,5612.014,5727.6597,4968.69,4341.1274,3943.0796,4368.184,4020.0977,3311.214,3849.5027,3519.8218,3963.3967,3530.6877,3452.1975,3899.1985,2823.0598,2975.7983,9875.618,9511.934,7829.7056,5829.963,4352.4355,4155.377,3738.8892,3280.8936,2957.6455,3083.4216,2632.2393,2334.086,2371.8723,2082.1196,2317.866,2357.4338,2441.9329,2285.3528,1866.0741,2038.8004,2304.6743,2316.1604,2126.4675,2103.0852,2093.03,1758.742,1757.0459,2327.392,1786.9757,1963.2672,1828.6249,1647.4407,1798.8455,1838.8563,1544.6508,1415.0835,1566.554,1345.5612,1282.5544,1655.2284,1455.8958,1053.7091,909.27747,1034.2406,1114.3192,1377.3236,1189.7073,1193.3303,1075.5763
20165+3413,27,4,20.277,34.23,0,771,861,470,535,9149.161,9372.81,9100.385,8592.22,8738.372,8741.464,9009.034,9711.462,9739.235,10670.742,11108.873,11791.025,12343.725,12375.783,12514.189,11727.128,11542.559,11067.691,10564.228,10157.566,9772.738,9427.463,8755.083,8589.772,8251.38,7833.951,7175.286,6869.6675,6449.57,6126.2666,5339.5513,4979.481,4965.6377,4927.2764,4594.513,4088.6619,4256.1626,3853.931,3763.8457,3665.5977,3477.4016,3435.0625,3403.6401,3394.0388,9052.609,8605.451,7799.9126,6641.4365,5305.8457,4755.435,4023.8074,3551.2183,3284.5027,2948.3267,2794.8464,2586.8916,2489.3853,2286.9678,2193.6306,2195.743,2087.4836,2204.1584,2003.2772,2075.033,2043.2263,1981.4602,2027.3993,2040.6511,2088.0022,1805.5225,1722.0674,1757.217,1732.4146,1644.9319,1573.8242,1577.7015,1529.802,1442.3912,1304.5646,1256.7141,1253.8594,1113.3535,1301.3536,1058.649,1186.7029,909.94995,899.00104,1133.411,1027.0751,972.5466,780.3633,874.4283,661.8219
20171+3519,42,0,20.285,35.322,0,1390,1348,798,846,12392.202,12102.909,12983.676,12819.303,12343.176,12433.241,11332.1045,9786.697,9656.824,9385.373,7891.1,7606.055,7507.7236,6691.0537,6675.512,6655.4365,6531.437,6661.924,7186.9434,6654.8,6768.679,7215.3525,6815.692,7081.6333,6782.8447,6818.36,6915.606,6612.2686,6641.7305,6656.1216,6449.136,6315.931,6205.306,5906.433,5630.1426,5770.9805,4937.487,5246.972,5057.9946,4844.9146,4687.547,4385.605,4577.596,4606.9424,7075.2407,7196.433,6763.5303,6768.9175,6146.4053,5790.4995,5472.2954,4803.264,4290.894,4365.8735,4166.818,3845.821,3414.9275,3374.0994,3276.078,3262.418,2953.6267,2751.7827,2696.0376,2528.8794,2441.5574,2453.648,2119.4,2075.8132,1914.7849,1955.5675,1994.8618,1860.9939,1745.2139,1691.192,1748.623,1566.6285,1342.4836,1759.871,1636.6493,1427.6034,1352.5969,1444.7587,1354.7175,1278.2407,1114.432,1363.2545,1154.2902,1273.6254,1313.1571,911.46643,1329.0015,1175.8053,1027.1354
20193+3527,23,4,20.322,35.459,0,1928,2138,949,977,11261.462,11126.603,11309.721,10788.171,9220.122,9888.167,9364.201,8648.259,9096.3125,8720.998,8527.989,9171.261,9460.091,9863.418,10204.676,9794.567,9854.893,9700.586,9118.366,9284.826,8747.931,8870.721,8469.54,8055.698,7599.538,7445.6943,7000.9307,7172.0576,6514.0986,6060.9966,5946.932,5964.2676,5005.622,4757.4917,5026.363,4357.387,4622.0933,4700.389,4144.512,4135.301,4566.813,3817.5225,3887.5002,3634.0498,9306.487,8118.752,7462.1504,6951.0737,5814.305,4968.539,4590.3335,3936.7227,3729.48,3194.5662,2795.2725,2907.3167,2618.2363,2771.2808,2408.787,2406.4922,2490.3735,2455.6218,2402.5217,2452.5461,2318.9604,2401.4966,2197.3108,1904.1504,1955.6451,2306.5957,2235.2246,1967.5288,2021.8875,2114.3916,1771.8607,1706.1836,1615.0901,1742.9385,1424.4507,1678.0239,1478.1986,1306.6295,1201.4536,1154.1956,1437.4636,1281.4568,930.53375,1227.9442,1105.854,843.9337,1124.4105,1054.5977,802.57983
20194+3646,29,2,20.325,36.772,0,208,227,111,136,6003.055,5796.3506,5699.6064,5694.955,5737.0444,5920.701,6233.555,6986.2036,7870.7954,8993.156,10171.872,11439.928,12442.747,13199.569,13442.401,13299.056,13033.402,12252.382,11728.368,11242.841,10600.6455,10050.534,9459.199,8903.602,8503.307,8108.513,7562.5483,6949.246,6518.7324,6089.597,5597.247,5205.2256,4851.6895,4522.894,4239.4546,3989.0022,3892.477,3617.293,3460.3035,3398.1455,3316.7495,3161.1426,3108.613,2958.5088,10217.31,9170.361,7915.927,6651.9063,5393.4136,4512.888,3746.4575,3392.3477,2992.9067,2847.737,2633.87,2523.0957,2452.193,2410.1677,2364.034,2453.973,2516.4382,2640.7612,2681.2625,2727.2727,2813.1494,2769.85,2787.0313,2754.7463,2730.7163,2628.3591,2574.1116,2545.9846,2486.2563,2363.3167,2278.865,2176.5544,2067.3794,1995.3175,1886.1553,1785.245,1795.6611,1723.6238,1610.3624,1568.5713,1555.6461,1474.0104,1429.4861,1452.3087,1389.9281,1286.3224,1284.4211,1209.6853,1079.9806
20200+3624,44,0,20.333,36.4,0,1980,1934,1099,1110,16900.658,16153.553,15892.511,14528.708,14261.252,12699.542,12074.251,11196.394,10211.175,9463.718,8815.136,7678.3022,7185.3887,7168.0405,6889.721,6657.675,7599.8613,7270.966,7455.523,7934.6753,8222.307,8046.951,8033.615,8409.578,7825.913,7837.78,7544.491,7158.5933,6983.1216,7272.7095,6379.607,6208.3022,5778.143,5392.163,5679.582,4862.175,5065.394,4713.037,4394.3423,4370.2515,3851.6157,3755.9558,4028.5571,3448.8643,8267.263,7742.5313,7459.8325,7408.6406,6705.1045,5648.047,4847.7446,4377.8496,3783.8096,3297.1086,3155.543,2917.1868,2335.8237,2103.803,2210.6013,2098.5515,1334.1445,2181.7212,1996.0428,1105.3962,1492.1313,1399.0691,1402.8163,1570.7136,1376.6594,1279.4141,1211.6357,986.0327,960.35376,1008.334,873.2358,799.1701,998.682,1057.203,833.73804,1104.8125,418.3865,1287.1202,1543.476,981.2213,1361.7441,597.47363,1011.67377,1219.6455,638.4684,873.80383,782.9593,721.5796,931.67096
